Ticks,Process ID,Queue
1895,4,0
1896,5,0
1897,6,0
1897,7,0
1898,6,0
1899,4,0
1900,5,0
1901,7,0
1902,6,0
1902,8,0
1903,4,0
1904,5,0
1905,6,0
1906,7,0
1907,4,0
1907,8,0
1908,4,0
1909,5,0
1910,6,0
1911,7,0
1912,4,0
1913,5,0
1913,8,0
1914,5,0
1915,6,0
1916,4,0
1917,7,0
1917,8,0
1918,5,0
1919,6,0
1920,4,0
1921,7,0
1922,5,0
1923,6,0
1923,8,0
1924,4,0
1925,6,0
1926,5,0
1927,7,0
1928,4,0
1929,6,0
1930,5,0
1931,7,0
1932,4,0
1933,6,0
1933,8,0
1934,5,0
1935,6,0
1936,4,0
1937,7,0
1937,8,0
1938,5,0
1939,6,0
1940,4,0
1941,7,0
1942,5,0
1942,8,0
1943,5,0
1944,4,0
1945,6,0
1946,7,0
1947,5,0
1948,4,0
1949,6,0
1949,8,0
1950,6,0
1951,5,0
1952,4,0
1953,7,0
1953,8,0
1954,6,0
1955,5,0
1956,4,0
1957,7,0
1957,8,0
1958,6,0
1959,5,0
1960,4,0
1961,7,0
1962,6,0
1962,8,0
1963,5,0
1964,4,0
1965,6,0
1966,7,0
1967,5,0
1967,8,0
1968,4,0
1969,5,0
1970,6,0
1971,7,0
1972,4,0
1973,5,0
1974,6,0
1975,7,0
1976,4,0
1977,5,0
1977,8,0
1978,5,0
1979,6,0
1980,4,0
1981,7,0
1982,5,0
1982,8,0
1983,5,0
1984,4,0
1985,6,0
1986,7,0
1987,5,0
1987,8,0
1988,4,0
1989,5,0
1990,6,0
1991,7,0
1993,4,0
1994,5,0
1994,6,0
1995,5,0
1996,7,0
1996,8,0
1997,4,0
1998,6,0
1999,5,0
2000,7,0
2001,4,0
2002,6,0
2002,8,0
2003,5,0
2004,6,0
2005,4,0
2006,7,0
2007,5,0
2007,8,0
2008,5,0
2009,4,0
2010,6,0
2011,7,0
2012,5,0
2012,8,0
2013,4,0
2014,5,0
2015,6,0
2016,7,0
2017,4,0
2018,5,0
2019,6,0
2020,7,0
2021,4,0
2022,5,0
2023,6,0
2023,8,0
2024,6,0
2025,4,0
2026,5,0
2027,7,0
2028,6,0
2030,4,0
2031,5,0
2032,6,0
2033,7,0
2034,4,0
2035,5,0
2036,6,0
2037,7,0
2038,4,0
2039,5,0
2040,6,0
2041,7,0
2042,4,0
2043,5,0
2044,6,0
2045,7,0
2046,4,0
2047,5,0
2048,6,0
2049,7,0
2050,4,0
2051,5,0
2051,8,0
2052,5,0
2053,6,0
2054,4,0
2055,7,0
2056,5,0
2056,8,0
2057,5,0
2058,4,0
2059,6,0
2060,7,0
2061,5,0
2061,8,0
2062,4,0
2063,5,0
2064,6,0
2065,7,0
2066,4,0
2067,5,0
2067,8,0
2068,5,0
2069,6,0
2070,4,0
2071,7,0
2071,8,0
2072,5,0
2073,6,0
2074,4,0
2075,7,0
2076,5,0
2076,8,0
2077,5,0
2078,4,0
2079,6,0
2080,7,0
2081,5,0
2082,4,0
2083,6,0
2083,8,0
2084,6,0
2085,5,0
2086,4,0
2087,7,0
2087,8,0
2088,6,0
2089,5,0
2090,4,0
2091,7,0
2092,6,0
2092,8,0
2093,5,0
2094,4,0
2095,6,0
2096,7,0
2097,5,0
2097,8,0
2098,4,0
2099,5,0
2100,6,0
2101,7,0
2102,4,0
2103,5,0
2104,6,0
2105,7,0
2106,4,0
2107,5,0
2107,8,0
2108,5,0
2109,6,0
2110,4,0
2111,7,0
2112,5,0
2112,8,0
2113,5,0
2114,4,0
2115,6,0
2116,7,0
2117,5,0
2117,8,0
2118,4,0
2119,5,0
2120,6,0
2121,7,0
2122,4,0
2123,5,0
2123,8,0
2124,5,0
2125,6,0
2126,4,0
2127,7,0
2127,8,0
2128,5,0
2129,6,0
2130,4,0
2131,7,0
2131,8,0
2132,5,0
2133,6,0
2134,4,0
2135,7,0
2136,5,0
2136,8,0
2137,5,0
2139,4,0
2140,6,0
2140,7,0
2141,5,0
2142,6,0
2143,4,0
2144,7,0
2144,8,0
2145,5,0
2146,6,0
2147,4,0
2148,7,0
2149,5,0
2149,8,0
2150,5,0
2151,4,0
2152,6,0
2153,7,0
2154,5,0
2154,8,0
2155,4,0
2156,5,0
2157,6,0
2158,7,0
2159,4,0
2160,5,0
2160,8,0
2161,5,0
2162,6,0
2163,4,0
2164,7,0
2164,8,0
2165,5,0
2166,6,0
2167,4,0
