Ticks,Process ID,Queue
1069,3,1
1071,3,2
1072,4,1
1073,5,1
1074,6,1
1076,4,2
1078,5,2
1080,6,2
1083,7,1
1084,8,1
1085,9,1
1086,10,1
1087,11,1
1088,12,1
1089,13,1
1091,7,2
1093,8,2
1095,9,2
1097,10,2
1099,11,2
1101,12,2
1103,13,2
1107,4,3
1111,5,3
1111,6,1
1113,6,2
1117,6,3
1121,7,3
1125,8,3
1129,9,3
1129,10,1
1131,10,2
1131,11,1
1133,11,2
1133,12,1
1135,12,2
1135,13,1
1137,13,2
1141,10,3
1145,11,3
1149,12,3
1149,4,2
1153,4,3
1153,5,2
1157,5,3
1161,13,3
1161,6,2
1165,6,3
1165,7,2
1169,7,3
1169,8,2
1173,8,3
1173,9,2
1177,9,3
1185,4,4
1185,10,2
1189,10,3
1189,11,2
1193,11,3
1193,12,2
1197,12,3
1205,5,4
1205,13,2
1209,13,3
1209,6,2
1213,6,3
1213,7,2
1217,7,3
1217,8,2
1221,8,3
1221,9,2
1225,9,3
1233,6,4
1233,10,2
1237,10,3
1237,11,2
1241,11,3
1241,12,2
1245,12,3
1253,7,4
1253,13,2
1257,13,3
1265,8,4
1273,9,4
1281,10,4
1289,11,4
1289,12,2
1293,12,3
1301,12,4
1301,13,2
1305,13,3
1313,13,4
1313,4,3
1321,4,4
1417,11,3
1425,11,4
1425,12,3
1433,12,4
1449,4,3
1457,4,4
1553,11,3
1561,11,4
1561,12,3
1569,12,4
1585,4,3
1593,4,4
1689,11,3
1697,11,4
1697,12,3
1705,12,4
1721,4,3
1729,4,4
1819,11,3
1827,11,4
1827,12,3
1835,12,4
1851,4,3
1859,4,4
1987,4,3
1995,4,4
2123,4,3
2131,4,4
2259,4,3
2267,4,4
2395,4,3
2403,4,4
